,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
155,Belltown,47.615326641975294,-122.34500145679021,Dahlia Bakery,47.613162,-122.340606,Bakery
156,Belltown,47.615326641975294,-122.34500145679021,Amazon - The Spheres,47.61565270219988,-122.33943700790405,Botanical Garden
157,Belltown,47.615326641975294,-122.34500145679021,The 5 Point Cafe,47.618137581244795,-122.34755655818344,Diner
158,Belltown,47.615326641975294,-122.34500145679021,Dimitriou's Jazz Alley,47.61515452425832,-122.33951668942166,Jazz Club
159,Belltown,47.615326641975294,-122.34500145679021,Evergreens Salad,47.61516683380852,-122.33952890892489,Salad Place
160,Belltown,47.615326641975294,-122.34500145679021,Wakefield Bar,47.6145257445991,-122.3463081290937,Bar
161,Belltown,47.615326641975294,-122.34500145679021,Palace Kitchen,47.6145655988787,-122.34035982141536,New American Restaurant
162,Belltown,47.615326641975294,-122.34500145679021,Lady Yum,47.61592924065598,-122.34078210263827,Dessert Shop
163,Belltown,47.615326641975294,-122.34500145679021,Serious Pie,47.61291872720561,-122.34032433088723,Pizza Place
164,Belltown,47.615326641975294,-122.34500145679021,Mamnoon Street,47.61492654521205,-122.33907692379833,Middle Eastern Restaurant
165,Belltown,47.615326641975294,-122.34500145679021,Kimpton Palladian,47.61205088525208,-122.34169274568558,Hotel
166,Belltown,47.615326641975294,-122.34500145679021,Lola,47.61324705326247,-122.33987398420676,Breakfast Spot
167,Belltown,47.615326641975294,-122.34500145679021,Black Bottle,47.615376182041096,-122.34965768477554,Gastropub
168,Belltown,47.615326641975294,-122.34500145679021,Herban Legends,47.61207936883574,-122.347927233765,Marijuana Dispensary
169,Belltown,47.615326641975294,-122.34500145679021,Starbucks,47.617459,-122.344445,Coffee Shop
170,Belltown,47.615326641975294,-122.34500145679021,Belltown Pizza,47.61456569734569,-122.34841191484225,Pizza Place
171,Belltown,47.615326641975294,-122.34500145679021,Black Cat,47.6125691953768,-122.34500684749874,Bar
172,Belltown,47.615326641975294,-122.34500145679021,Cherry Street Coffee House,47.61224159203839,-122.34474021390412,Coffee Shop
173,Belltown,47.615326641975294,-122.34500145679021,Axtion Club,47.616050729474445,-122.34876813865766,Gym
174,Belltown,47.615326641975294,-122.34500145679021,A Pizza Mart,47.618528806696006,-122.34528000344399,Pizza Place
175,Belltown,47.615326641975294,-122.34500145679021,Screwdriver,47.61382572231093,-122.34723793565948,Lounge
176,Belltown,47.615326641975294,-122.34500145679021,Currant Bistro,47.614414000000004,-122.341724,Bistro
177,Belltown,47.615326641975294,-122.34500145679021,Belltown P-Patch,47.61407791595501,-122.350902723329,Garden
178,Belltown,47.615326641975294,-122.34500145679021,CJ's Eatery,47.61575008961075,-122.35055963420491,Breakfast Spot
179,Belltown,47.615326641975294,-122.34500145679021,Zeeks Pizza,47.6184785,-122.3478587,Pizza Place
180,Belltown,47.615326641975294,-122.34500145679021,Cost Plus World Market,47.6111658,-122.3453329,Furniture / Home Store
181,Belltown,47.615326641975294,-122.34500145679021,Willmott's Ghost,47.61538458990475,-122.33966522159318,Italian Restaurant
182,Belltown,47.615326641975294,-122.34500145679021,Assaggio,47.61329239503493,-122.34030176338864,Italian Restaurant
183,Belltown,47.615326641975294,-122.34500145679021,Walton Lofts,47.613810416772644,-122.35075651590604,Residential Building (Apartment / Condo)
184,Bitter Lake,47.719524545454554,-122.35136848484852,Wicked Good Grinders,47.7196573246086,-122.35596591468729,Food Truck
185,Bitter Lake,47.719524545454554,-122.35136848484852,Chada Thai,47.71966349876733,-122.35511390944248,Thai Restaurant
186,Bitter Lake,47.719524545454554,-122.35136848484852,Interurban Trail North,47.715629027981706,-122.3500478064028,Trail
187,Bitter Lake,47.719524545454554,-122.35136848484852,Broadview Tap House,47.719337,-122.35615200000001,Beer Bar
188,Bitter Lake,47.719524545454554,-122.35136848484852,Domino's Pizza,47.71994161700571,-122.35508824994213,Pizza Place
189,Bitter Lake,47.719524545454554,-122.35136848484852,Krispy Kreme Doughnuts,47.71980488290206,-122.34542190936679,Donut Shop
190,Bitter Lake,47.719524545454554,-122.35136848484852,Redbox,47.7196,-122.355579,Video Store
191,Bitter Lake,47.719524545454554,-122.35136848484852,7-Eleven,47.7199406481385,-122.355228513479,Convenience Store
192,Bitter Lake,47.719524545454554,-122.35136848484852,Les Schwab Tire Center,47.71826956,-122.34528613,Automotive Shop
193,Bitter Lake,47.719524545454554,-122.35136848484852,Ichi Roll Teriyaki,47.719686911675346,-122.35506623717754,Sushi Restaurant
194,Bitter Lake,47.719524545454554,-122.35136848484852,Firestone Complete Auto Care,47.72107752,-122.34556568,Automotive Shop
195,Bitter Lake,47.719524545454554,-122.35136848484852,Jack in the Box,47.72031778093748,-122.34544783830643,Fast Food Restaurant
196,Bitter Lake,47.719524545454554,-122.35136848484852,Lowe's,47.7203827,-122.3463446,Hardware Store
197,Bitter Lake,47.719524545454554,-122.35136848484852,The Furniture Guy,47.71936189686411,-122.35565561471223,Antique Shop
198,Bitter Lake,47.719524545454554,-122.35136848484852,Armadillo Consignment,47.719263,-122.35586699999999,Furniture / Home Store
199,Bitter Lake,47.719524545454554,-122.35136848484852,Broadview Park,47.71792591878161,-122.35575556755064,Park
200,Bitter Lake,47.719524545454554,-122.35136848484852,Bank of America ATM,47.72082714009171,-122.34552392494686,ATM
201,Bitter Lake,47.719524545454554,-122.35136848484852,N 125th and Aurora,47.71930707601801,-122.34494775693248,Intersection
202,Bitter Lake,47.719524545454554,-122.35136848484852,L'forno,47.723272,-122.348015,Restaurant
203,Bitter Lake,47.719524545454554,-122.35136848484852,Anita's Mexican Food,47.71859551642635,-122.3449928580554,Food Truck
204,Bitter Lake,47.719524545454554,-122.35136848484852,Seattle Tonics,47.717511,-122.345548,Marijuana Dispensary
205,Bitter Lake,47.719524545454554,-122.35136848484852,Robb's 125th St. Grill,47.71931605922423,-122.34516570390294,Steakhouse
206,Briarcliff,47.643816363636354,-122.40535954545454,Magnolia Community Park,47.64152858927089,-122.40043675298595,Playground
207,Briarcliff,47.643816363636354,-122.40535954545454,Redbox,47.64534231064386,-122.40066567310537,Video Store
208,Briarcliff,47.643816363636354,-122.40535954545454,Magnolia Playfield,47.64142553378783,-122.40002865615433,Park
209,Briarcliff,47.643816363636354,-122.40535954545454,Mounger Pool,47.64533876788367,-122.40063424507606,Pool
210,Briarcliff,47.643816363636354,-122.40535954545454,Metro Bus Stop,47.64509761075671,-122.40967441372432,Bus Stop
211,Briarcliff,47.643816363636354,-122.40535954545454,Gim Wah,47.64532871196138,-122.40072932435427,Chinese Restaurant
212,Briarcliff,47.643816363636354,-122.40535954545454,Magnolia Park Tennis Courts,47.645338188437954,-122.40068297285882,Tennis Court
213,Briarcliff,47.643816363636354,-122.40535954545454,Metro Bus Stop #20610,47.640350647004816,-122.40958347916603,Bus Stop
214,Brighton,47.53983640625002,-122.27768562500003,The Cajun Crawfish,47.539289971206344,-122.28267717852206,Cajun / Creole Restaurant
215,Brighton,47.53983640625002,-122.27768562500003,El Asadero,47.53724733537418,-122.28018074129658,Mexican Restaurant
216,Brighton,47.53983640625002,-122.27768562500003,Huong Duong Sunflower,47.53781871254015,-122.2813544666586,Vietnamese Restaurant
217,Brighton,47.53983640625002,-122.27768562500003,Hoang Lan,47.53834883622972,-122.28202097084483,Vietnamese Restaurant
218,Brighton,47.53983640625002,-122.27768562500003,Taco Street,47.5381,-122.28129,Taco Place
219,Brighton,47.53983640625002,-122.27768562500003,Starbucks,47.536498597176504,-122.27377714395773,Coffee Shop
220,Brighton,47.53983640625002,-122.27768562500003,Tammy's Bakery,47.537504697937976,-122.28284107657365,Bakery
